一一	对应:829	回复:705	一一:542	介绍:318	列举:308	解答:225	道来:135
一一一	一:542
一一介	绍:318
一一列	举:308
一一回	复:705
一一对	应:829
一一解	答:225
一一道	来:135
一丁	点:1426	点儿:223
一丁点	儿:223
一万	多:1291	个:750	元:479	年:479	块:473	块钱:408	倍:384	五:366	字:314	次:299	遍:274	人:264	种:204	左右:204	个人:161	亿:159	二:150	小时:123	五千:122	以上:119	公里:119
一万个	人:161
一万五	千:122
一万以	上:119
一万公	里:119
一万块	钱:408
一万小	时:123
一万左	右:204
一上	来:2781	午:845	手:177	车:133	台:128	一下:115	场:113
一上一	下:115
一下	子:7386	子就:2974	吧:2575	就:2562	午:1592	下:404	吗:340	啊:269	子把:269	就好:213	而已:184	嘛:114	车:105
一下子	就:2974	把:269
一下就	好:213
一下而	已:184
一不	小心:3081	留神:518	做二不休:102
一不做	二不休:102
一不做二	不休:102
一不小	心:3081
一不留	神:518
一丘	之貉:117
一丘之	貉:117
一丝	丝:954	一毫:527	不苟:478	不挂:194
一丝一	毫:527
一丝不	苟:478	挂:194
一丢	丢:2008
一两	个:4582	年:2285	次:1401	个月:1261	天:1081	百:686	千:646	万:538	句:494	句话:405	周:377	分钟:336	点:289	遍:181	本:172	篇:170	个星期:169	家:166	秒:150	分:144	件:137	首:132	百万:129	银子:128	张:121	年内:119	种:117
一两个	月:1261	星期:169
一两个星	期:169
一两分	钟:336
一两句	话:405
一两年	内:119
一两百	万:129
一两银	子:128
一个	人:43553	月:29232	是:20315	问题:11605	个:10238	人的:7010	好的:6083	小时:5976	新的:5065	字:3683	星期:3659	道理:3182	大:3104	一个:3072	国家:2874	词:2625	点:2367	普通:2323	多月:2285	地方:2189	朋友:2123	故事:2073	概念:1988	东西:1954	又一个:1890	很大的:1870	行业:1806	例子:1682	人在:1662	男人:1651	游戏:1642	档次:1583	月后:1570	孩子:1566	女人:1540	合格:1341	没有:1339	好:1325	多小时:1321	城市:1314	观点:1223	班:1194	女生:1168	全新的:1124	巨大:1109	角色:1079	半小时:1043	晚上:973	团队:969	亿:964	月内:900	比一个:891	女孩:860	劲:819	目标:809	阶段:777	机会:775	接一个:773	独立:768	半月:757	场景:757	事情:740	样:701	同学:652	分支:650	软件:629	周期:625	球:604	方面:585	句子:578	因素:572	月前:571	月了:570	做:562	女孩子:546	系统:545	案例:542	准:531	部分:521	数字:517
一个一	个:3072
一个不	小心:323	落:147
一个不小	心:323
一个世	界:508	纪:497
一个东	西:1954
一个个	都:487	都是:152	去:106
一个个都	是:152
一个中	国:374	心:121
一个事	情:740	儿:109
一个二	维:102
一个亮	点:203
一个亲	戚:178
一个人	的:7010	在:1662	的时候:308	来:297	住:265	在家:256	旅行:210	吃:190	生活:189	走:174	都没有:174	的力量:127	的一生:120	面对:112	看:107
一个人在	家:256
一个人旅	行:210
一个人生	活:189
一个人的	时候:308	力量:127	一生:120
一个人都	没有:174
一个人面	对:112
一个什	么:362
一个任	务:466
一个例	子:1682
一个偶	然的机会:144
一个偶然	的机会:144
一个元	素:237
一个全	新的:1124
一个全新	的:1124
一个冬	天:177
一个函	数:379
一个分	支:650
一个办	法:437	公室:135
一个办公	室:135
一个劲	儿:227	地:209	儿地:101
一个劲儿	地:101
一个医	生:395
一个半	小时:1043	月:757
一个半小	时:1043
一个单	位:417
一个又	一个:1890
一个又一	个:1890
一个句	子:578
一个合	格:1341
一个同	学:652
一个周	期:625
一个因	素:572
一个团	队:969
一个国	家:2874
一个地	方:2189
一个场	景:757
一个坏	消息:103
一个坏消	息:103
